Numéro_incident,Date_appel,Heure_appel,Type_appel,Quartier,Commune,Type_incident,Indicateur_santé_mentale,Nombre_unités_déployées,Temps_réponse (minutes),Heure_arrivée,Clôture_appel,Jour,Conclusion_appel,Rapport_rédigé
253694988,2025-07-23,07:01:08,Appel 112,Togblékopé,Agoe-Nyivé 4,Dispute familiale,Non,2,278,11:39:08,12:25:08,mercredi,Transfert hôpital,Non
254063980,2025-06-02,15:51:59,APP117, Kpogan,Golfe 6,Violence conjugale,Non,3,554,01:05:59,01:32:59,lundi,Transfert hôpital,Non
258315561,2025-05-11,10:30:31,Appel 112,Legbassito,Agoe-Nyivé 2,Tapage nocturne,Non,1,323,15:53:31,16:13:31,dimanche,Transfert hôpital,Non
256698439,2025-07-05,20:36:59,117, Nanégbé,Agoe-Nyivé 5,Dispute familiale,Non,4,84,22:00:59,22:48:59,samedi,Aucun suivi,Oui
257138120,2025-07-29,10:08:48,Appel 117, Zossimé,Agoe-Nyivé 5,Accident moto,Oui,4,426,17:14:48,18:06:48,mardi,Arrestation,Oui
252124303,2025-05-31,19:56:38,Initiative agent,Togo 2000,Golfe 2,Violence conjugale,Oui,2,477,03:53:38,04:01:38,samedi,Arrestation,Oui
258372628,2025-06-01,15:23:36,appel117, Démakpoè,Agoe-Nyivé 1,Accident moto,Oui,2,43,16:06:36,16:58:36,dimanche,Transmis au CB,Non
258869365,2025-05-17,17:59:11,appel117, Fiovi,Agoe-Nyivé 1,Tapage nocturne,Non,2,194,21:13:11,22:04:11,samedi,Transmis au CB,Oui
253685809,2025-07-20,19:43:58,Appel 112, Lankouvi ,Golfe 7,Vol,Oui,2,125,21:48:58,22:33:58,dimanche,Transmis au CB,Non
258623626,2025-07-27,06:15:55,appel117,Bè-Ablogamé,Golfe 1,Tapage nocturne,Oui,1,308,11:23:55,11:46:55,dimanche,Arrestation,Oui
251921329,2025-07-07,15:25:57,Initiative agent, Lankouvi ,Golfe 7,Vol,Non,4,482,23:27:57,23:34:57,lundi,Transfert hôpital,Oui
258726521,2025-06-10,07:38:25,Appel 117, Kélégouvi ,Golfe 3,Dispute familiale,Non,3,357,13:35:25,14:30:25,mardi,Aucun suivi,Non
252026968,2025-07-26,14:07:13,appel 117,Adétikope,Agoe-Nyivé 6,Dispute familiale,Oui,1,318,19:25:13,19:43:13,samedi,Transfert hôpital,Oui
253735585,2025-07-15,15:18:45,Appel 112,Togo 2000,Golfe 2,Accident moto,Non,3,268,19:46:45,20:45:45,mardi,Aucun suivi,Oui
252578884,2025-05-16,00:53:10,117, Klémé,Agoe-Nyivé 5,Bagarre,Oui,4,131,03:04:10,03:27:10,vendredi,Arrestation,Non
258822683,2025-07-19,22:09:50,117,Tokoin-Gbonvié ,Golfe 3,Tapage nocturne,Non,4,550,07:19:50,07:46:50,samedi,Arrestation,Oui
256782524,2025-07-13,12:04:08,117,Adétikope,Agoe-Nyivé 6,Tapage nocturne,Oui,3,437,19:21:08,19:51:08,dimanche,Arrestation,Non
255339661,2025-06-06,02:01:47,Appel 117,  Atsanvé,Agoe-Nyivé 1,Accident moto,Oui,2,35,02:36:47,03:16:47,vendredi,Transmis au CB,Oui
252176505,2025-05-20,22:54:26,appel117, Avinato,Agoe-Nyivé 2,Accident moto,Oui,3,414,05:48:26,06:21:26,mardi,Aucun suivi,Non
257545504,2025-07-01,04:18:16,Appel 112, Kélégouvi ,Golfe 3,Vol,Non,4,238,08:16:16,08:37:16,mardi,Transfert hôpital,Oui
251023494,2025-06-01,01:06:29,appel117,Tokoin Lycée  ,Golfe 3,Tapage nocturne,Non,4,62,02:08:29,02:42:29,dimanche,Aucun suivi,Non
257295580,2025-05-16,08:20:49,117,Togblékopé,Agoe-Nyivé 4,Violence conjugale,Non,2,478,16:18:49,16:59:49,vendredi,Transfert hôpital,Oui
254521970,2025-07-21,17:22:54,Appel 117,Hossoukopé,Agoe-Nyivé 3,Accident moto,Oui,1,505,01:47:54,02:12:54,lundi,Transmis au CB,Non
258027599,2025-06-27,19:16:31,Appel 117, Zopomahé,Agoe-Nyivé 5,Dispute familiale,Non,3,147,21:43:31,22:00:31,vendredi,Transfert hôpital,Non
251074072,2025-07-02,04:33:08,117,Djidjolé,Golfe 5,Violence conjugale,Oui,1,392,11:05:08,11:55:08,mercredi,Transmis au CB,Non
255827485,2025-06-23,19:04:36,Appel 117,Tokoin Lycée  ,Golfe 3,Vol,Non,2,360,01:04:36,01:37:36,lundi,Arrestation,Oui
259153654,2025-05-11,03:16:13,appel117, Kégué,Golfe 2,Vol,Non,2,178,06:14:13,06:58:13,dimanche,Transmis au CB,Non
252924800,2025-05-27,18:53:24,117, Hanoukopé-Est ,Golfe 3,Violence conjugale,Oui,2,553,04:06:24,05:00:24,mardi,Transmis au CB,Non
254918065,2025-06-02,23:00:43,117, Atikoumé,Golfe 4,Accident moto,Oui,4,178,01:58:43,02:30:43,lundi,Transfert hôpital,Oui
252064248,2025-07-22,13:14:03,117,Djidjolé,Golfe 5,Accident moto,Non,2,496,21:30:03,21:45:03,mardi,Transmis au CB,Non
258054526,2025-06-22,17:09:14,Appel 117, Avépozo,Golfe 6,Violence conjugale,Non,4,541,02:10:14,02:23:14,dimanche,Aucun suivi,Non
254436943,2025-07-04,16:54:19,Initiative agent, Agbalépedogan,Golfe 5,Violence conjugale,Oui,1,351,22:45:19,23:12:19,vendredi,Transfert hôpital,Oui
253498195,2025-06-12,07:43:23,APP117, Nanégbé,Agoe-Nyivé 5,Tapage nocturne,Non,4,377,14:00:23,14:42:23,jeudi,Aucun suivi,Non
258827572,2025-05-04,18:34:29,appel 117, Kélégougan ,Golfe 1,Bagarre,Oui,3,130,20:44:29,21:33:29,dimanche,Transmis au CB,Non
254272886,2025-06-11,17:39:35,117, Madjikpeto,Agoe-Nyivé 2,Tapage nocturne,Non,3,432,00:51:35,01:42:35,mercredi,Arrestation,Oui
256903571,2025-05-17,14:24:46,APP117, Amadahomé,Golfe 5,Violence conjugale,Oui,3,282,19:06:46,19:11:46,samedi,Transfert hôpital,Oui
251081145,2025-07-01,20:54:40,appel117, Madjikpeto,Agoe-Nyivé 2,Accident moto,Oui,1,103,22:37:40,23:02:40,mardi,Transfert hôpital,Oui
252322935,2025-05-23,10:45:22,Initiative agent,Adétikope,Agoe-Nyivé 6,Dispute familiale,Non,3,5,10:50:22,10:59:22,vendredi,Transmis au CB,Oui
255049332,2025-06-17,22:11:49,117, klikamé,Agoe-Nyivé 5,Tapage nocturne,Oui,4,514,06:45:49,06:56:49,mardi,Transmis au CB,Non
253154107,2025-07-23,15:39:32,appel 117, Klobatème,Golfe 1,Bagarre,Non,3,347,21:26:32,21:59:32,mercredi,Aucun suivi,Non
256588876,2025-07-17,04:49:58,117, Lomenyokope,Agoe-Nyivé 6,Dispute familiale,Oui,2,265,09:14:58,09:45:58,jeudi,Aucun suivi,Non
252433427,2025-06-05,19:07:34,appel117, Bè-Kpota,Golfe 1,Dispute familiale,Oui,3,336,00:43:34,00:58:34,jeudi,Transmis au CB,Oui
259902971,2025-05-23,05:21:12,APP117, Elavagno,Agoe-Nyivé 3,Vol,Non,2,461,13:02:12,13:17:12,vendredi,Transfert hôpital,Oui
259562725,2025-07-28,23:01:09,APP117, Kitidjan,Agoe-Nyivé 1,Violence conjugale,Oui,3,141,01:22:09,01:48:09,lundi,Transmis au CB,Oui
252454690,2025-06-28,10:35:02,Initiative agent,Kotokoli-Zongo,Agoe-Nyivé 4,Tapage nocturne,Oui,3,24,10:59:02,11:18:02,samedi,Arrestation,Oui
259446202,2025-06-14,05:15:50,appel 117, Awoudja,Agoe-Nyivé 3,Tapage nocturne,Non,1,292,10:07:50,10:16:50,samedi,Transfert hôpital,Non
256565620,2025-06-25,09:42:01,APP117,Gbadago,Golfe 4,Bagarre,Non,4,340,15:22:01,16:15:01,mercredi,Arrestation,Oui
257165617,2025-05-25,02:19:15,Initiative agent, Baguida.,Golfe 6,Dispute familiale,Non,1,143,04:42:15,04:50:15,dimanche,Arrestation,Oui
257199249,2025-05-17,09:12:23,APP117, Dzove,Agoe-Nyivé 6,Accident moto,Oui,4,403,15:55:23,16:20:23,samedi,Arrestation,Non
255256967,2025-06-11,17:47:51,Appel 112, Démakpoè,Agoe-Nyivé 1,Violence conjugale,Oui,3,314,23:01:51,23:34:51,mercredi,Transfert hôpital,Oui
256761886,2025-05-08,18:38:35,Appel 117, Sagbado ,Golfe 7,Tapage nocturne,Non,1,274,23:12:35,23:38:35,jeudi,Arrestation,Non
254309169,2025-06-04,09:35:03,Appel 112, Gblinkomegan,Golfe 7,Violence conjugale,Non,4,11,09:46:03,10:07:03,mercredi,Aucun suivi,Non
256877256,2025-06-29,14:41:16,Initiative agent, Adidogomé,Golfe 5,Tapage nocturne,Oui,4,534,23:35:16,00:07:16,dimanche,Transmis au CB,Oui
255556739,2025-06-24,15:54:08,APP117,Haoussa-Zongo,Agoe-Nyivé 4,Tapage nocturne,Non,1,470,23:44:08,23:49:08,mardi,Aucun suivi,Oui
251315725,2025-06-24,01:07:58,Appel 117, Adidogomé,Golfe 5,Accident moto,Oui,4,457,08:44:58,08:57:58,mardi,Aucun suivi,Non
257947880,2025-06-12,21:42:56,APP117,Amoutivé,Golfe 4,Vol,Oui,4,423,04:45:56,05:12:56,jeudi,Arrestation,Oui
252925023,2025-05-28,02:05:01,Initiative agent, Kélégougan ,Golfe 1,Vol,Oui,3,405,08:50:01,09:17:01,mercredi,Transmis au CB,Non
257041554,2025-07-11,13:44:03,appel 117, Adamavo,Golfe 6,Dispute familiale,Oui,4,53,14:37:03,14:52:03,vendredi,Arrestation,Non
259933626,2025-06-14,13:25:13,appel117,Adétikope,Agoe-Nyivé 6,Violence conjugale,Non,3,353,19:18:13,20:01:13,samedi,Transmis au CB,Oui
252956429,2025-07-14,11:29:23,Appel 112, Yokoè,Golfe 7,Bagarre,Non,4,372,17:41:23,18:01:23,lundi,Aucun suivi,Oui
257278723,2025-07-12,12:03:35,117, Soviépé,Golfe 5,Violence conjugale,Oui,2,30,12:33:35,12:47:35,samedi,Arrestation,Oui
259527806,2025-06-06,19:42:33,Initiative agent,Klévé,Agoe-Nyivé 3,Accident moto,Oui,4,410,02:32:33,03:18:33,vendredi,Arrestation,Non
251051504,2025-06-21,16:07:22,Appel 117,Hossoukopé,Agoe-Nyivé 3,Bagarre,Non,2,479,00:06:22,00:22:22,samedi,Transfert hôpital,Oui
251827238,2025-05-15,04:28:37,appel 117,Alinka,Agoe-Nyivé 4,Dispute familiale,Non,4,70,05:38:37,06:26:37,jeudi,Arrestation,Oui
257507343,2025-05-28,07:41:38,appel117, Atikoumé,Golfe 4,Dispute familiale,Oui,2,385,14:06:38,15:03:38,mercredi,Transmis au CB,Oui
258565417,2025-06-25,09:02:58,117,Alinka,Agoe-Nyivé 4,Vol,Non,2,191,12:13:58,12:45:58,mercredi,Transfert hôpital,Oui
252888802,2025-06-10,06:48:40,APP117,Tokoin Lycée  ,Golfe 3,Vol,Oui,4,323,12:11:40,12:46:40,mardi,Aucun suivi,Non
251676156,2025-07-30,06:11:03,appel117,Dégomé,Agoe-Nyivé 4,Vol,Non,2,423,13:14:03,14:09:03,mercredi,Aucun suivi,Oui
253271501,2025-07-18,03:27:53,APP117, Kladzeme,Agoe-Nyivé 6,Tapage nocturne,Non,3,30,03:57:53,04:14:53,vendredi,Aucun suivi,Oui
256476567,2025-05-18,23:26:17,Appel 112, Atikoumé,Golfe 4,Vol,Oui,1,574,09:00:17,09:55:17,dimanche,Aucun suivi,Oui
257537568,2025-05-07,08:43:25,117, Assivito,Golfe 4,Violence conjugale,Oui,3,514,17:17:25,17:41:25,mercredi,Arrestation,Non
258694538,2025-06-14,07:09:04,Appel 112, Zopomahé,Agoe-Nyivé 5,Accident moto,Non,1,35,07:44:04,08:02:04,samedi,Arrestation,Oui
259001626,2025-07-04,15:37:21,APP117,Haoussa-Zongo,Agoe-Nyivé 4,Vol,Oui,1,199,18:56:21,19:23:21,vendredi,Aucun suivi,Oui
